Calendar Basis,,,
Portfolio, ,Default,
Item, , ,
Frequency,일간,KRW,
Non-Trading Day,Previous,Asc,
Include Weekend,ALL, ,
Term,20100101,Current(20251128),
Symbol,A005930,A005380,A035420
Symbol Name,삼성전자,현대차,NAVER
Kind,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY
2020-01-01,"55,800","120,500","186,500"
2020-01-02,"55,200","118,000","182,500"
2020-01-03,"55,500","116,000","181,500"
2020-01-04,"55,500","116,000","181,500"
2020-01-05,"55,500","116,000","181,500"
2020-01-06,"55,500","116,000","180,500"
2020-01-07,"55,800","115,500","187,000"
2020-01-08,"56,800","112,000","183,000"
2020-01-09,"58,600","111,500","186,000"
2020-01-10,"59,500","113,500","188,000"
2020-01-11,"59,500","113,500","188,000"
2020-01-12,"59,500","113,500","188,000"
2020-01-13,"60,000","115,000","188,000"
2020-01-14,"60,000","116,000","190,500"
2020-01-15,"59,000","115,000","191,500"
2020-01-16,"60,700","118,500","191,500"
2020-01-17,"61,300","118,500","191,000"
2020-01-18,"61,300","118,500","191,000"
2020-01-19,"61,300","118,500","191,000"
2020-01-20,"62,400","118,000","187,500"
2020-01-21,"61,400","117,000","182,000"
2020-01-22,"62,300","127,000","186,000"
2020-01-23,"60,800","130,500","183,000"
2020-01-24,"60,800","130,500","183,000"
2020-01-25,"60,800","130,500","183,000"
2020-01-26,"60,800","130,500","183,000"
2020-01-27,"60,800","130,500","183,000"
2020-01-28,"58,800","131,000","178,500"
2020-01-29,"59,100","131,000","180,000"
2020-01-30,"57,200","127,500","180,000"
2020-01-31,"56,400","125,000","179,500"
2020-02-01,"56,400","125,000","179,500"
2020-02-02,"56,400","125,000","179,500"
2020-02-03,"57,200","123,500","177,500"
2020-02-04,"58,900","124,000","180,500"
2020-02-05,"59,500","124,000","181,500"
2020-02-06,"61,100","132,000","181,500"
2020-02-07,"60,400","131,000","185,000"
2020-02-08,"60,400","131,000","185,000"
2020-02-09,"60,400","131,000","185,000"
2020-02-10,"59,700","130,000","183,500"
2020-02-11,"59,900","132,500","184,500"
2020-02-12,"60,500","136,000","185,000"
2020-02-13,"60,700","133,000","184,500"
2020-02-14,"61,800","133,500","186,500"
2020-02-15,"61,800","133,500","186,500"
2020-02-16,"61,800","133,500","186,500"
2020-02-17,"61,500","135,500","188,500"
2020-02-18,"59,800","132,500","186,500"
2020-02-19,"60,200","131,500","189,500"
2020-02-20,"60,000","130,000","190,000"
2020-02-21,"59,200","128,000","189,500"
2020-02-22,"59,200","128,000","189,500"
2020-02-23,"59,200","128,000","189,500"
2020-02-24,"56,800","122,500","184,000"
2020-02-25,"57,900","122,500","190,500"
2020-02-26,"56,500","122,500","187,000"
2020-02-27,"55,900","121,000","182,000"
2020-02-28,"54,200","115,000","174,000"
2020-02-29,"54,200","115,000","174,000"
2020-03-01,"54,200","115,000","174,000"
2020-03-02,"55,000","113,500","175,000"
2020-03-03,"55,400","112,500","175,000"
2020-03-04,"57,400","113,000","178,500"
2020-03-05,"57,800","114,000","181,000"
